,Device,RN_JJ,Rs/JJ,I_AB,EJ,C_JJQP,EC,$\omega_p$,Q,beta,EJ/EC
D059BBN1,D059BBN1,49.666666666666664,1.4899999999999998,6.4421522436021545,0.153561950719303,1.5,0.6197497980244114,18.181181825509263,127.65843331850135,16296.675597334257,0.24778055791033002
D059BBN2,D059BBN2,130.0,3.8999999999999995,2.461232523837746,0.058668540146605504,1.5,0.6197497980244114,11.237842492229502,206.53263198235635,42655.72807355945,0.09466487981702351
D055N8,D055N8,118.66666666666667,3.5599999999999996,2.696294057013261,0.06427171532914648,1.5,0.6197497980244114,11.762245652513036,197.32466539902933,38937.02357483888,0.10370590766471678
